country,date,exchange,buying_cash,selling_cash,sending_money,getting_money,buying_TC,selling_check
USA,2019.12.13,1172.00,1192.51,1151.49,1183.40,1160.60,1186.06,1159.44
JAPAN,2019.12.13,1068.66,1087.36,1049.96,1079.13,1058.19,1079.34,1057.72
EUROPE,2019.12.13,1310.18,1336.25,1284.11,1323.28,1297.08,1329.83,1296.56
CHINA,2019.12.13,168.02,176.42,159.62,169.70,166.34,N/A,N/A
CANADA,2019.12.13,890.92,908.47,873.37,899.82,882.02,904.28,881.01
AUSTRALIA,2019.12.13,810.56,826.52,794.60,818.66,802.46,822.71,801.63






