country,date,exchange,buying_cash,selling_cash,sending_money,getting_money,buying_TC,selling_check
SWITZERLAND,2019.12.13,1191.30,1214.76,1167.84,1203.21,1179.39,N/A,1179.01
SWITZERLAND,2019.12.12,1210.49,1234.33,1186.65,1222.59,1198.39,N/A,1198.01
SWITZERLAND,2019.12.11,1213.20,1237.10,1189.30,1225.33,1201.07,N/A,1200.68
SWITZERLAND,2019.12.10,1209.05,1232.86,1185.24,1221.14,1196.96,N/A,1196.57
SWITZERLAND,2019.12.09,1203.03,1226.72,1179.34,1215.06,1191.00,N/A,1190.62
SWITZERLAND,2019.12.06,1203.40,1227.10,1179.70,1215.43,1191.37,N/A,1190.98
SWITZERLAND,2019.12.05,1204.73,1228.46,1181.00,1216.77,1192.69,N/A,1192.31
SWITZERLAND,2019.12.04,1206.57,1230.33,1182.81,1218.63,1194.51,N/A,1194.13
SWITZERLAND,2019.12.03,1202.87,1226.56,1179.18,1214.89,1190.85,N/A,1190.47
SWITZERLAND,2019.12.02,1185.53,1208.88,1162.18,1197.38,1173.68,N/A,1173.31
SWITZERLAND,2019.11.29,1180.24,1203.49,1156.99,1192.04,1168.44,N/A,1168.07
SWITZERLAND,2019.11.28,1180.95,1204.21,1157.69,1192.75,1169.15,N/A,1168.76
SWITZERLAND,2019.11.27,1179.98,1203.22,1156.74,1191.77,1168.19,N/A,1167.80
SWITZERLAND,2019.11.26,1180.75,1204.01,1157.49,1192.55,1168.95,N/A,1168.55
SWITZERLAND,2019.11.25,1179.57,1202.80,1156.34,1191.36,1167.78,N/A,1167.39
SWITZERLAND,2019.11.22,1184.63,1207.96,1161.30,1196.47,1172.79,N/A,1172.39
SWITZERLAND,2019.11.21,1186.42,1209.79,1163.05,1198.28,1174.56,N/A,1174.16
SWITZERLAND,2019.11.20,1180.59,1203.84,1157.34,1192.39,1168.79,N/A,1168.39
SWITZERLAND,2019.11.19,1176.92,1200.10,1153.74,1188.68,1165.16,N/A,1164.76
SWITZERLAND,2019.11.18,1176.80,1199.98,1153.62,1188.56,1165.04,N/A,1164.64
SWITZERLAND,2019.11.15,1179.74,1202.98,1156.50,1191.53,1167.95,N/A,1167.55
SWITZERLAND,2019.11.14,1183.76,1207.08,1160.44,1195.59,1171.93,N/A,1171.53
SWITZERLAND,2019.11.13,1181.19,1204.45,1157.93,1193.00,1169.38,N/A,1168.98
SWITZERLAND,2019.11.12,1169.11,1192.14,1146.08,1180.80,1157.42,N/A,1157.02
SWITZERLAND,2019.11.11,1171.30,1194.37,1148.23,1183.01,1159.59,N/A,1159.19
SWITZERLAND,2019.11.08,1161.57,1184.45,1138.69,1173.18,1149.96,N/A,1149.57
SWITZERLAND,2019.11.07,1164.44,1187.37,1141.51,1176.08,1152.80,N/A,1152.40
SWITZERLAND,2019.11.06,1166.84,1189.82,1143.86,1178.50,1155.18,N/A,1154.78
SWITZERLAND,2019.11.05,1166.85,1189.83,1143.87,1178.51,1155.19,N/A,1154.80
SWITZERLAND,2019.11.04,1174.60,1197.73,1151.47,1186.34,1162.86,N/A,1162.47
SWITZERLAND,2019.11.01,1182.25,1205.54,1158.96,1194.07,1170.43,N/A,1170.05
SWITZERLAND,2019.10.31,1183.35,1206.66,1160.04,1195.18,1171.52,N/A,1171.14
SWITZERLAND,2019.10.30,1176.03,1199.19,1152.87,1187.79,1164.27,N/A,1163.89
SWITZERLAND,2019.10.29,1173.87,1196.99,1150.75,1185.60,1162.14,N/A,1161.76
SWITZERLAND,2019.10.28,1176.26,1199.43,1153.09,1188.02,1164.50,N/A,1164.11
SWITZERLAND,2019.10.25,1184.39,1207.72,1161.06,1196.23,1172.55,N/A,1172.16
SWITZERLAND,2019.10.24,1184.81,1208.15,1161.47,1196.65,1172.97,N/A,1172.58
SWITZERLAND,2019.10.23,1184.13,1207.45,1160.81,1195.97,1172.29,N/A,1171.90
SWITZERLAND,2019.10.22,1186.53,1209.90,1163.16,1198.39,1174.67,N/A,1174.29
SWITZERLAND,2019.10.21,1189.43,1212.86,1166.00,1201.32,1177.54,N/A,1177.16
SWITZERLAND,2019.10.18,1194.98,1218.52,1171.44,1206.92,1183.04,N/A,1182.65
SWITZERLAND,2019.10.17,1189.94,1213.38,1166.50,1201.83,1178.05,N/A,1177.67
SWITZERLAND,2019.10.16,1191.70,1215.17,1168.23,1203.61,1179.79,N/A,1179.41
SWITZERLAND,2019.10.15,1189.55,1212.98,1166.12,1201.44,1177.66,N/A,1177.28
SWITZERLAND,2019.10.14,1191.04,1214.50,1167.58,1202.95,1179.13,N/A,1178.75
SWITZERLAND,2019.10.11,1188.91,1212.33,1165.49,1200.79,1177.03,N/A,1176.65
SWITZERLAND,2019.10.10,1204.45,1228.17,1180.73,1216.49,1192.41,N/A,1192.02
SWITZERLAND,2019.10.08,1207.37,1231.15,1183.59,1219.44,1195.30,N/A,1194.91
SWITZERLAND,2019.10.07,1204.87,1228.60,1181.14,1216.91,1192.83,N/A,1192.44
SWITZERLAND,2019.10.04,1204.47,1228.19,1180.75,1216.51,1192.43,N/A,1192.04
SWITZERLAND,2019.10.02,1207.54,1231.32,1183.76,1219.61,1195.47,N/A,1195.09
SWITZERLAND,2019.10.01,1200.06,1223.70,1176.42,1212.06,1188.06,N/A,1187.68
SWITZERLAND,2019.09.30,1204.96,1228.69,1181.23,1217.00,1192.92,N/A,1192.53
SWITZERLAND,2019.09.27,1209.56,1233.38,1185.74,1221.65,1197.47,N/A,1197.09
SWITZERLAND,2019.09.26,1207.38,1231.16,1183.60,1219.45,1195.31,N/A,1194.93
SWITZERLAND,2019.09.25,1217.24,1241.21,1193.27,1229.41,1205.07,N/A,1204.68
SWITZERLAND,2019.09.24,1208.17,1231.97,1184.37,1220.25,1196.09,N/A,1195.70
SWITZERLAND,2019.09.23,1208.68,1232.49,1184.87,1220.76,1196.60,N/A,1196.22
SWITZERLAND,2019.09.20,1199.05,1222.67,1175.43,1211.04,1187.06,N/A,1186.69
SWITZERLAND,2019.09.19,1205.67,1229.42,1181.92,1217.72,1193.62,N/A,1193.25
SWITZERLAND,2019.09.18,1197.57,1221.16,1173.98,1209.54,1185.60,N/A,1185.24
SWITZERLAND,2019.09.17,1197.83,1221.42,1174.24,1209.80,1185.86,N/A,1185.49
SWITZERLAND,2019.09.16,1194.63,1218.16,1171.10,1206.57,1182.69,N/A,1182.33
SWITZERLAND,2019.09.11,1202.44,1226.12,1178.76,1214.46,1190.42,N/A,1190.07
SWITZERLAND,2019.09.10,1203.49,1227.19,1179.79,1215.52,1191.46,N/A,1191.11
SWITZERLAND,2019.09.09,1203.47,1227.17,1179.77,1215.50,1191.44,N/A,1191.09
SWITZERLAND,2019.09.06,1205.59,1229.34,1181.84,1217.64,1193.54,N/A,1193.19
SWITZERLAND,2019.09.05,1220.75,1244.79,1196.71,1232.95,1208.55,N/A,1208.20
SWITZERLAND,2019.09.04,1225.63,1249.77,1201.49,1237.88,1213.38,N/A,1213.02
SWITZERLAND,2019.09.03,1228.47,1252.67,1204.27,1240.75,1216.19,N/A,1215.82
SWITZERLAND,2019.09.02,1223.08,1247.17,1198.99,1235.31,1210.85,N/A,1210.48
SWITZERLAND,2019.08.30,1222.58,1246.66,1198.50,1234.80,1210.36,N/A,1210.00
SWITZERLAND,2019.08.29,1233.35,1257.64,1209.06,1245.68,1221.02,N/A,1220.65
SWITZERLAND,2019.08.28,1237.96,1262.34,1213.58,1250.33,1225.59,N/A,1225.21
SWITZERLAND,2019.08.27,1238.40,1262.79,1214.01,1250.78,1226.02,N/A,1225.64
SWITZERLAND,2019.08.26,1240.49,1264.92,1216.06,1252.89,1228.09,N/A,1227.71
SWITZERLAND,2019.08.23,1226.20,1250.35,1202.05,1238.46,1213.94,N/A,1213.56
SWITZERLAND,2019.08.22,1231.74,1256.00,1207.48,1244.05,1219.43,N/A,1219.05
SWITZERLAND,2019.08.21,1228.25,1252.44,1204.06,1240.53,1215.97,N/A,1215.59
SWITZERLAND,2019.08.20,1234.30,1258.61,1209.99,1246.64,1221.96,N/A,1221.58
SWITZERLAND,2019.08.19,1235.52,1259.85,1211.19,1247.87,1223.17,N/A,1222.79
SWITZERLAND,2019.08.16,1235.27,1259.60,1210.94,1247.62,1222.92,N/A,1222.53
