country,date,exchange,buying_cash,selling_cash,sending_money,getting_money,buying_TC,selling_check
TAIWAN,2019.12.13,38.78,43.86,36.07,0.00,0.00,N/A,N/A
TAIWAN,2019.12.12,39.17,44.30,36.43,0.00,0.00,N/A,N/A
TAIWAN,2019.12.11,39.22,44.35,36.48,0.00,0.00,N/A,N/A
TAIWAN,2019.12.10,39.12,44.24,36.39,0.00,0.00,N/A,N/A
TAIWAN,2019.12.09,39.05,44.16,36.32,0.00,0.00,N/A,N/A
TAIWAN,2019.12.06,39.03,44.14,36.30,0.00,0.00,N/A,N/A
TAIWAN,2019.12.05,39.04,44.15,36.31,0.00,0.00,N/A,N/A
TAIWAN,2019.12.04,39.14,44.26,36.41,0.00,0.00,N/A,N/A
TAIWAN,2019.12.03,38.98,44.08,36.26,0.00,0.00,N/A,N/A
TAIWAN,2019.12.02,38.84,43.92,36.13,0.00,0.00,N/A,N/A
TAIWAN,2019.11.29,38.67,43.73,35.97,0.00,0.00,N/A,N/A
TAIWAN,2019.11.28,38.67,43.73,35.97,0.00,0.00,N/A,N/A
TAIWAN,2019.11.27,38.55,43.60,35.86,0.00,0.00,N/A,N/A
TAIWAN,2019.11.26,38.57,43.62,35.88,0.00,0.00,N/A,N/A
TAIWAN,2019.11.25,38.55,43.60,35.86,0.00,0.00,N/A,N/A
TAIWAN,2019.11.22,38.57,43.62,35.88,0.00,0.00,N/A,N/A
TAIWAN,2019.11.21,38.54,43.58,35.85,0.00,0.00,N/A,N/A
TAIWAN,2019.11.20,38.35,43.37,35.67,0.00,0.00,N/A,N/A
TAIWAN,2019.11.19,38.25,43.26,35.58,0.00,0.00,N/A,N/A
TAIWAN,2019.11.18,38.22,43.22,35.55,0.00,0.00,N/A,N/A
TAIWAN,2019.11.15,38.25,43.26,35.58,0.00,0.00,N/A,N/A
TAIWAN,2019.11.14,38.30,43.31,35.62,0.00,0.00,N/A,N/A
TAIWAN,2019.11.13,38.31,43.32,35.63,0.00,0.00,N/A,N/A
TAIWAN,2019.11.12,38.22,43.22,35.55,0.00,0.00,N/A,N/A
TAIWAN,2019.11.11,38.30,43.31,35.62,0.00,0.00,N/A,N/A
TAIWAN,2019.11.08,38.09,43.07,35.43,0.00,0.00,N/A,N/A
TAIWAN,2019.11.07,38.11,43.10,35.45,0.00,0.00,N/A,N/A
TAIWAN,2019.11.06,38.12,43.11,35.46,0.00,0.00,N/A,N/A
TAIWAN,2019.11.05,38.06,43.04,35.40,0.00,0.00,N/A,N/A
TAIWAN,2019.11.04,38.16,43.15,35.49,0.00,0.00,N/A,N/A
TAIWAN,2019.11.01,38.28,43.29,35.61,0.00,0.00,N/A,N/A
TAIWAN,2019.10.31,38.34,43.36,35.66,0.00,0.00,N/A,N/A
TAIWAN,2019.10.30,38.34,43.36,35.66,0.00,0.00,N/A,N/A
TAIWAN,2019.10.29,38.27,43.28,35.60,0.00,0.00,N/A,N/A
TAIWAN,2019.10.28,38.31,43.32,35.63,0.00,0.00,N/A,N/A
TAIWAN,2019.10.25,38.38,43.40,35.70,0.00,0.00,N/A,N/A
TAIWAN,2019.10.24,38.36,43.38,35.68,0.00,0.00,N/A,N/A
TAIWAN,2019.10.23,38.32,43.33,35.64,0.00,0.00,N/A,N/A
TAIWAN,2019.10.22,38.37,43.39,35.69,0.00,0.00,N/A,N/A
TAIWAN,2019.10.21,38.37,43.39,35.69,0.00,0.00,N/A,N/A
TAIWAN,2019.10.18,38.63,43.69,35.93,0.00,0.00,N/A,N/A
TAIWAN,2019.10.17,38.54,43.58,35.85,0.00,0.00,N/A,N/A
TAIWAN,2019.10.16,38.80,43.88,36.09,0.00,0.00,N/A,N/A
TAIWAN,2019.10.15,38.74,43.81,36.03,0.00,0.00,N/A,N/A
TAIWAN,2019.10.14,38.74,43.81,36.03,0.00,0.00,N/A,N/A
TAIWAN,2019.10.11,38.70,43.76,36.00,0.00,0.00,N/A,N/A
TAIWAN,2019.10.10,38.92,44.01,36.20,0.00,0.00,N/A,N/A
TAIWAN,2019.10.08,38.81,43.89,36.10,0.00,0.00,N/A,N/A
TAIWAN,2019.10.07,38.77,43.84,36.06,0.00,0.00,N/A,N/A
TAIWAN,2019.10.04,38.69,43.75,35.99,0.00,0.00,N/A,N/A
TAIWAN,2019.10.02,38.84,43.92,36.13,0.00,0.00,N/A,N/A
TAIWAN,2019.10.01,38.69,43.75,35.99,0.00,0.00,N/A,N/A
TAIWAN,2019.09.30,38.61,43.66,35.91,0.00,0.00,N/A,N/A
TAIWAN,2019.09.27,38.68,43.74,35.98,0.00,0.00,N/A,N/A
TAIWAN,2019.09.26,38.68,43.74,35.98,0.00,0.00,N/A,N/A
TAIWAN,2019.09.25,38.66,43.72,35.96,0.00,0.00,N/A,N/A
TAIWAN,2019.09.24,38.51,43.55,35.82,0.00,0.00,N/A,N/A
TAIWAN,2019.09.23,38.61,43.66,35.91,0.00,0.00,N/A,N/A
TAIWAN,2019.09.20,38.41,43.44,35.73,0.00,0.00,N/A,N/A
TAIWAN,2019.09.19,38.56,43.61,35.87,0.00,0.00,N/A,N/A
TAIWAN,2019.09.18,38.48,43.52,35.79,0.00,0.00,N/A,N/A
TAIWAN,2019.09.17,38.41,43.44,35.73,0.00,0.00,N/A,N/A
TAIWAN,2019.09.16,38.30,43.31,35.62,0.00,0.00,N/A,N/A
TAIWAN,2019.09.11,38.36,43.38,35.68,0.00,0.00,N/A,N/A
TAIWAN,2019.09.10,38.17,43.17,35.50,0.00,0.00,N/A,N/A
TAIWAN,2019.09.09,38.24,43.24,35.57,0.00,0.00,N/A,N/A
TAIWAN,2019.09.06,38.27,43.28,35.60,0.00,0.00,N/A,N/A
TAIWAN,2019.09.05,38.41,43.44,35.73,0.00,0.00,N/A,N/A
TAIWAN,2019.09.04,38.56,43.61,35.87,0.00,0.00,N/A,N/A
TAIWAN,2019.09.03,38.73,43.80,36.02,0.00,0.00,N/A,N/A
TAIWAN,2019.09.02,38.65,43.71,35.95,0.00,0.00,N/A,N/A
