country,date,exchange,buying_cash,selling_cash,sending_money,getting_money,buying_TC,selling_check
USA,2019.12.09,1191.00,1211.84,1170.16,1202.60,1179.40,1205.29,1178.23
USA,2019.12.06,1189.50,1210.31,1168.69,1201.10,1177.90,1203.77,1176.73
USA,2019.12.05,1191.00,1211.84,1170.16,1202.60,1179.40,1205.29,1178.23
USA,2019.12.04,1193.00,1213.87,1172.13,1204.60,1181.40,1207.31,1180.23
USA,2019.12.03,1190.00,1210.82,1169.18,1201.60,1178.40,1204.28,1177.23
USA,2019.12.02,1185.00,1205.73,1164.27,1196.60,1173.40,1199.22,1172.24
USA,2019.11.29,1180.00,1200.65,1159.35,1191.50,1168.50,1194.16,1167.34
USA,2019.11.28,1179.00,1199.63,1158.37,1190.50,1167.50,1193.14,1166.35
USA,2019.11.27,1177.50,1198.10,1156.90,1189.00,1166.00,1191.63,1164.84
USA,2019.11.26,1177.50,1198.10,1156.90,1189.00,1166.00,1191.63,1164.84
USA,2019.11.25,1176.50,1197.08,1155.92,1188.00,1165.00,1190.61,1163.84
USA,2019.11.22,1178.00,1198.61,1157.39,1189.50,1166.50,1192.13,1165.34
USA,2019.11.21,1175.50,1196.07,1154.93,1187.00,1164.00,1189.60,1162.84
USA,2019.11.20,1170.50,1190.98,1150.02,1181.90,1159.10,1184.54,1157.94
USA,2019.11.19,1166.50,1186.91,1146.09,1177.90,1155.10,1180.49,1153.95
USA,2019.11.18,1165.50,1185.89,1145.11,1176.90,1154.10,1179.48,1152.95
USA,2019.11.15,1167.00,1187.42,1146.58,1178.40,1155.60,1181.00,1154.43
USA,2019.11.14,1170.50,1190.98,1150.02,1181.90,1159.10,1184.54,1157.93
USA,2019.11.13,1169.50,1189.96,1149.04,1180.90,1158.10,1183.53,1156.93
USA,2019.11.12,1163.50,1183.86,1143.14,1174.90,1152.10,1177.46,1150.94
JAPAN,2019.12.09,1098.10,1117.31,1078.89,1108.86,1087.34,1109.08,1086.85
